,App,Ver,Date,Notes,Time of Rel,Rel type,Length,Processed Notes,Updatability,Updatability for Major Rel
11,Simply Auto: Car Maintenance &,39.1.1.4,"Jul 28, 2021",+ Updated the receipt file server~ Big improvements in syncing of receipts~ Improvements in syncing data between drivers~ Fixed edit/delete of service and expense tasks,58.0,Major,22.0,update the receipt file server big improvement in synce of receipt improvement in synce datum between driver fix editdelete of service and expense task,0.9447559744337686,0.9447559744337686
12,Simply Auto: Car Maintenance &,38.1.1.4,"May 31, 2021",~bug fixes & Enhancements,19.0,Major,4.0,bug fix Enhancements,0.9057282863501503,0.9057282863501503
13,Simply Auto: Car Maintenance &,37.1.1.2,"May 12, 2021",-New Last Odo help text added while adding Fuel/services/expenses~Bug Fixes,41.0,Major,10.0,New Last Odo help text add while add FuelservicesexpensesBug fix,0.8292238868098835,0.8292238868098835
14,Simply Auto: Car Maintenance &,36.1.1.1,"Apr 1, 2021",-Add only odometer values,29.0,Major,4.0,add only odometer value,1.0,1.0
15,Simply Auto: Car Maintenance &,35.1.1.1,"Mar 3, 2021",~Bug with reports~Fixed Crash,20.0,Major,4.0,bug with reportsfix Crash,0.7797118494381703,0.7797118494381703
16,Simply Auto: Car Maintenance &,34.0.1.1,"Feb 11, 2021",-Fixed Issue with Date and Time selection-Fixed Crash,15.0,Major,8.0,fix issue with date and time selectionfix Crash,0.7304823867539678,0.7304823867539678
17,Simply Auto: Car Maintenance &,33.0.1.1,"Jan 27, 2021",-Crash & Bug fixes,12.0,Major,4.0,Crash bug fix,-2.220446049250313e-16,-2.220446049250313e-16
18,Simply Auto: Car Maintenance &,32.0.1.1,"Jan 15, 2021",-Crash & Bug fixes,15.0,Major,4.0,Crash bug fix,0.7744451277931567,0.7744451277931567
19,Simply Auto: Car Maintenance &,31.0.1.3,"Dec 31, 2020",- Adding One-time platinum payment option. No Yearly subscription.~ Minor Bug fixes,56.0,Major,12.0,add onetime platinum payment option no yearly subscription minor bug fix,1.0,1.0
20,Simply Auto: Car Maintenance &,29.0.1.3,"Nov 5, 2020",-Changes to UI~Fixed crashes,22.0,Major,4.0,change to uifix crash,0.8847844566220688,0.8847844566220688
21,Simply Auto: Car Maintenance &,28.0.1.2,"Oct 14, 2020",-Apple Sign In-UI UX updates~Fixed crashes,28.0,Major,6.0,Apple sign InUI UX updatesfix crash,0.8847844566220687,0.8847844566220687
22,Simply Auto: Car Maintenance &,27.0.1.1,"Sep 16, 2020",~ Bug Fixes for Crash,42.0,Major,5.0,bug fix for Crash,0.8940078686490674,0.8940078686490674
23,Simply Auto: Car Maintenance &,26.0.1.1,"Aug 5, 2020",~ Google Drive Backup and Restore bug resolved,61.0,Major,8.0,Google Drive backup and restore bug resolve,0.8316024996278473,0.8316024996278473
24,Car Mechanic Simulator 21,2.1.62,"Feb 3, 2023",- Performance improvements- Bug fixes,12.0,Patch,5.0,performance improvement bug fix,0.6721292528158282,0.4202613284623342
25,Car Mechanic Simulator 21,2.1.61,"Jan 22, 2023",- Performance improvements- Fixed problems with some cars- Smoother graphics & gameplay,13.0,Patch,12.0,performance improvement fix problem with some car smooth graphic gameplay,0.840988756566853,0.6648242566720739
26,Car Mechanic Simulator 21,2.1.60,"Jan 9, 2023",- Fixing daily reward screen issue- Arrows as default car control - change to steering wheel in the settings- Minor fixes & improvements,26.0,Patch,22.0,fix daily reward screen issue arrow as default car control change to steering wheel in the setting minor fix improvement,0.8855293667235312,0.6584757830626361
27,Car Mechanic Simulator 21,2.1.59,"Dec 14, 2022",- brand new modern soundtrack- memory consumption optimizations- minor bug fixes,33.0,Patch,11.0,brand new modern soundtrack memory consumption optimization minor bug fix,0.8624563954441378,0.8662149070536875
28,Car Mechanic Simulator 21,2.1.58,"Nov 11, 2022",- graphics engine upgrade- performance improvements- bug fixes,16.0,Patch,8.0,graphic engine upgrade performance improvement bug fix,0.8968110146668613,0.5896373550478153
29,Car Mechanic Simulator 21,2.1.56,"Oct 26, 2022",- driving controls switch option (steering wheel / arrows)- 13 new cars to buy from barns- minor fixes & improvements,10.0,Patch,20.0,drive control switch option steering wheel arrow 13 new car to buy from barn minor fix improvement,0.8570347689606161,0.7485419625727331
30,Car Mechanic Simulator 21,2.1.55,"Oct 16, 2022","- Construct your own car! New meta-game added!- Common, rare & epic packs with parts- New level & experience bar added- Brand new 7 cars to build! Complete them all!",61.0,Patch,28.0,construct you own car New metagame add common rare epic pack with part new level experience bar add brand new 7 car to build complete they all,1.0,1.0
31,Car Mechanic Simulator 21,2.1.54,"Aug 16, 2022",Fixes & improvements,8.0,Patch,3.0,fix improvement,0.8727410129902475,-2.220446049250313e-16
32,Car Mechanic Simulator 21,2.1.53,"Aug 8, 2022",+ tutorial improvements+ parts finder in shop+ wheel repair tools unlock info,12.0,Patch,12.0,tutorial improvement part finder in shop wheel repair tool unlock info,0.91129692284724,0.8727410129902475
33,Car Mechanic Simulator 21,2.1.50,"Jul 27, 2022",+ tire repair fixes+ new onboarding flow+ faster orders introduction+ minor fixes & improvements,9.0,Patch,14.0,tire repair fix new onboarding flow fast order introduction minor fix improvement,0.5555237475356872,0.5555237475356872
34,Car Mechanic Simulator 21,2.1.48,"Jul 18, 2022",Fixes & improvements,5.0,Patch,3.0,fix improvement,0.5896846981534922,-2.220446049250313e-16
35,Car Mechanic Simulator 21,2.1.46,"Jul 13, 2022",+ trophies tutorial & rewards added+ steering wheel fixes+ improved special offers+ minor improvements & bug fixes,1.0,Patch,16.0,trophy tutorial reward add steering wheel fix improve special offer minor improvement bug fix,0.0,0.5896846981534923
36,Car Mechanic Simulator 21,2.1.44,"Jul 12, 2022",+ trophies tutorial & rewards added+ steering wheel fixes+ improved special offers+ minor improvements & bug fixes,4.0,Patch,16.0,trophy tutorial reward add steering wheel fix improve special offer minor improvement bug fix,0.7742773006424776,0.5896846981534923
37,Car Mechanic Simulator 21,2.1.43,"Jul 8, 2022",+ better car handling+ improved car repairs+ minor changes & bug fixes,11.0,Patch,11.0,good car handling improve car repair minor change bug fix,0.9608153848646873,0.8783966852138099
38,Car Mechanic Simulator 21,2.1.42,"Jun 27, 2022",+ brand new UI+ parking driving (tow truck challenge)+ new assistant & hints+ improved onboarding,1.0,Patch,14.0,brand new UI parking drive tow truck challenge new assistant hint improve onboarding,0.0,1.0
39,Car Mechanic Simulator 21,2.1.41,"Jun 26, 2022",+ brand new UI+ parking driving (tow truck challenge)+ new assistant & hints+ improved onboarding,31.0,Patch,14.0,brand new UI parking drive tow truck challenge new assistant hint improve onboarding,1.0,1.0
40,Car Mechanic Simulator 21,2.1.40,"May 26, 2022",- Fixes & improvements,57.0,Patch,4.0,fix improvement,-2.220446049250313e-16,-2.220446049250313e-16
41,Car Mechanic Simulator 21,2.1.39,"Mar 30, 2022",- Fixes & improvements,63.0,Patch,4.0,fix improvement,0.4202613284623342,-2.220446049250313e-16
42,Car Mechanic Simulator 21,2.1.37,"Jan 26, 2022",- New icon- Fixes & improvements,6.0,Patch,6.0,new icon fix improvement,0.0,0.4202613284623342
43,Car Mechanic Simulator 21,2.1.36,"Jan 20, 2022",- New icon- Fixes & improvements,5.0,Patch,6.0,new icon fix improvement,0.4202613284623342,0.4202613284623342
44,Car Mechanic Simulator 21,2.1.35,"Jan 15, 2022",Fixes & improvements,11.0,Patch,3.0,fix improvement,1.0,-2.220446049250313e-16
45,Car Mechanic Simulator 21,2.1.34,"Jan 4, 2022","NEW BIG UPDATE! INTRODUCING TIME TRACK!

The CMS Team has been working hard to bring you the new experience to the game you already know!
- NEW game mode: Time Track - Select car and race against time. Beat the time on each track to get rewards.
- Now you can race on 6 different tracks with every car in the game.
- 13 new cars waiting to be repaired and taken for a drive
- New cards to unlock
- New achievements to complete
- Premium store with extra content",19.0,Patch,66.0,new big update introduce time track the CMS Team have be work hard to bring you the new experience to the game you already know new game mode Time Track Select car and race against time beat the time on each track to get reward now you can race on 6 different track with every car in the game 13 new car wait to be repair and take for a drive new card to unlock new achievement to complete Premium store with extra content,-2.220446049250313e-16,1.0
46,Car Mechanic Simulator 21,2.1.32,"Dec 16, 2021","NEW BIG UPDATE! INTRODUCING TIME TRACK!

The CMS Team has been working hard to bring you the new experience to the game you already know!
- NEW game mode: Time Track - Select car and race against time. Beat the time on each track to get rewards.
- Now you can race on 6 different tracks with every car in the game.
- 13 new cars waiting to be repaired and taken for a drive
- New cards to unlock
- New achievements to complete
- Premium store with extra content",51.0,Patch,66.0,new big update introduce time track the CMS Team have be work hard to bring you the new experience to the game you already know new game mode Time Track Select car and race against time beat the time on each track to get reward now you can race on 6 different track with every car in the game 13 new car wait to be repair and take for a drive new card to unlock new achievement to complete Premium store with extra content,1.0,1.0
47,Car Mechanic Simulator 21,2.1.30,"Oct 26, 2021",Fixes & improvements,27.0,Patch,3.0,fix improvement,-2.220446049250313e-16,-2.220446049250313e-16
48,RTO Vehicle Information App,4.4.2,19 Dec 2022,- FasTag- Buy Car- CarInfo Store- Quiz,148.0,Minor,7.0,FasTag Buy Car CarInfo Store Quiz,1.0,0.9524654992076147
49,RTO Vehicle Information App,4.3.0,24 Jul 2022,Few under the hood changes to make your experience better than ever before!!,37.0,Minor,13.0,few under the hood change to make you experience good than ever before,-6.661338147750939e-16,0.8828244030703944
50,RTO Vehicle Information App,4.2.0,17 Jun 2022,Few under the hood changes to make your experience better than ever before!!,72.0,Minor,13.0,few under the hood change to make you experience good than ever before,0.8930877549343672,0.8828244030703944
51,RTO Vehicle Information App,4.1.0,6 Apr 2022,Now make your search experience easy and quick by using auto complete feature on search vehicle page.,9.0,Minor,16.0,now make you search experience easy and quick by use auto complete feature on search vehicle page,0.8322515354038957,0.8322515354038957
52,RTO Vehicle Information App,4.0.3,28 Mar 2022,"Hola! We missed you a lot and are back with a bunch of surprises.

Check Details: Know your vehicle better with vehicle specifications, loan, challan information, insurance, resale value, ownership, and more.

My Vehicle: Sometimes, forgetting stuff is illegal! We have got you covered with Insurance and PUC renewal notifications.

Buy Insurance and Accessories: We keep bringing exciting offers on insurance and accessories to help you save some money for that extra cup of coffee or beer, maybe!

Buy FASTag: Planning a trip? Get FASTag delivered to your doorstep.

Daily Fuel Prices: We understand your pain! Get daily updates on fuel prices to plan your finances better.

Useful Tips and News: Knowledge is power! Keep getting Tips to maintain your vehicle and stay updated with the automobile world.

Do let us know which is your favourite feature!",7.0,Patch,103.0,Hola we miss you a lot and be back with a bunch of surprise check detail know you vehicle better with vehicle specification loan challan information insurance resale value ownership and more my vehicle sometimes forget stuff be illegal we have get you covered with insurance and puc renewal notification buy insurance and accessory we keep bring exciting offer on insurance and accessory to help you save some money for that extra cup of coffee or beer maybe buy FASTag plan a trip get fastag deliver to you doorstep daily fuel price we understand you pain get daily update on fuel price to plan you finances well useful Tips and News Knowledge be power keep get Tips to maintain you vehicle and stay update with the automobile world do let we know which be you favourite feature,-2.220446049250313e-16,-2.220446049250313e-16
53,RTO Vehicle Information App,4.0.2,21 Mar 2022,"Hola! We missed you a lot and are back with a bunch of surprises.

Check Details: Know your vehicle better with vehicle specifications, loan, challan information, insurance, resale value, ownership, and more.

My Vehicle: Sometimes, forgetting stuff is illegal! We have got you covered with Insurance and PUC renewal notifications.

Buy Insurance and Accessories: We keep bringing exciting offers on insurance and accessories to help you save some money for that extra cup of coffee or beer, maybe!

Buy FASTag: Planning a trip? Get FASTag delivered to your doorstep.

Daily Fuel Prices: We understand your pain! Get daily updates on fuel prices to plan your finances better.

Useful Tips and News: Knowledge is power! Keep getting Tips to maintain your vehicle and stay updated with the automobile world.

Do let us know which is your favourite feature!",18.0,Patch,103.0,Hola we miss you a lot and be back with a bunch of surprise check detail know you vehicle better with vehicle specification loan challan information insurance resale value ownership and more my vehicle sometimes forget stuff be illegal we have get you covered with insurance and puc renewal notification buy insurance and accessory we keep bring exciting offer on insurance and accessory to help you save some money for that extra cup of coffee or beer maybe buy FASTag plan a trip get fastag deliver to you doorstep daily fuel price we understand you pain get daily update on fuel price to plan you finances well useful Tips and News Knowledge be power keep get Tips to maintain you vehicle and stay update with the automobile world do let we know which be you favourite feature,-2.220446049250313e-16,-2.220446049250313e-16
54,RTO Vehicle Information App,4.0.1,3 Mar 2022,"Hola! We missed you a lot and are back with a bunch of surprises.

Check Details: Know your vehicle better with vehicle specifications, loan, challan information, insurance, resale value, ownership, and more.

My Vehicle: Sometimes, forgetting stuff is illegal! We have got you covered with Insurance and PUC renewal notifications.

Buy Insurance and Accessories: We keep bringing exciting offers on insurance and accessories to help you save some money for that extra cup of coffee or beer, maybe!

Buy FASTag: Planning a trip? Get FASTag delivered to your doorstep.

Daily Fuel Prices: We understand your pain! Get daily updates on fuel prices to plan your finances better.

Useful Tips and News: Knowledge is power! Keep getting Tips to maintain your vehicle and stay updated with the automobile world.

Do let us know which is your favourite feature!
",3.0,Patch,103.0,Hola we miss you a lot and be back with a bunch of surprise check detail know you vehicle better with vehicle specification loan challan information insurance resale value ownership and more my vehicle sometimes forget stuff be illegal we have get you covered with insurance and puc renewal notification buy insurance and accessory we keep bring exciting offer on insurance and accessory to help you save some money for that extra cup of coffee or beer maybe buy FASTag plan a trip get fastag deliver to you doorstep daily fuel price we understand you pain get daily update on fuel price to plan you finances well useful Tips and News Knowledge be power keep get Tips to maintain you vehicle and stay update with the automobile world do let we know which be you favourite feature,-2.220446049250313e-16,-2.220446049250313e-16
55,RTO Vehicle Information App,4.0.0,28 Feb 2022,"Hola! We missed you a lot and are back with a bunch of surprises.

Check Details: Know your vehicle better with vehicle specifications, loan, challan information, insurance, resale value, ownership, and more.

My Vehicle: Sometimes, forgetting stuff is illegal! We have got you covered with Insurance and PUC renewal notifications.

Buy Insurance and Accessories: We keep bringing exciting offers on insurance and accessories to help you save some money for that extra cup of coffee or beer, maybe!

Buy FASTag: Planning a trip? Get FASTag delivered to your doorstep.

Daily Fuel Prices: We understand your pain! Get daily updates on fuel prices to plan your finances better.

Useful Tips and News: Knowledge is power! Keep getting Tips to maintain your vehicle and stay updated with the automobile world.

Do let us know which is your favourite feature!
",203.0,Major,103.0,Hola we miss you a lot and be back with a bunch of surprise check detail know you vehicle better with vehicle specification loan challan information insurance resale value ownership and more my vehicle sometimes forget stuff be illegal we have get you covered with insurance and puc renewal notification buy insurance and accessory we keep bring exciting offer on insurance and accessory to help you save some money for that extra cup of coffee or beer maybe buy FASTag plan a trip get fastag deliver to you doorstep daily fuel price we understand you pain get daily update on fuel price to plan you finances well useful Tips and News Knowledge be power keep get Tips to maintain you vehicle and stay update with the automobile world do let we know which be you favourite feature,0.704762394671444,0.8720238829890521
56,RTO Vehicle Information App,3.2.1,9 Aug 2021,"Our developers and product managers are calling it a completely upgraded version of owner detail, but we know you will only remember it for saving you time. Lots and lots of it.",5.0,Patch,28.0,we developer and product manager be call it a completely upgrade version of owner detail but we know you will only remember it for save you time lot and lot of it,0.0,0.8362245844664533
57,RTO Vehicle Information App,3.2.0,4 Aug 2021,"Our developers and product managers are calling it a completely upgraded version of owner detail, but we know you will only remember it for saving you time. Lots and lots of it.",132.0,Minor,28.0,we developer and product manager be call it a completely upgrade version of owner detail but we know you will only remember it for save you time lot and lot of it,0.9573322574199817,0.8362245844664533
58,RTO Vehicle Information App,3.1.1,25 Mar 2021,Few under the hood changes to make your experience better than ever before!,18.0,Patch,13.0,few under the hood change to make you experience good than ever before,-6.661338147750939e-16,0.9499096373160945
59,RTO Vehicle Information App,3.1.0,7 Mar 2021,Few under the hood changes to make your experience better than ever before!!,46.0,Minor,13.0,few under the hood change to make you experience good than ever before,0.9499096373160945,0.9499096373160945
60,RTO Vehicle Information App,3.0.0,20 Jan 2021,"If there is one thing the pandemic has taught us, it’s not taking things for granted.Remember to always care & always be prepared. We’ll overcome this together :)",20.0,Major,27.0,if there be one thing the pandemic have teach we it 's not take thing for grantedremember to always care always be prepared we will overcome this together,0.0,0.7813217132106594
61,RTO Vehicle Information App,2.9.0,31 Dec 2020,"If there is one thing the pandemic has taught us, it’s not taking things for granted.Remember to always care & always be prepared. We’ll overcome this together :)",101.0,Minor,27.0,if there be one thing the pandemic have teach we it 's not take thing for grantedremember to always care always be prepared we will overcome this together,0.8752790681173215,0.7813217132106594
62,RTO Vehicle Information App,2.8.2,21 Sept 2020,"Dear humans, we have killed all the bugs and made the app faster, stronger, and better. Keeping up with the car and auto industry news is now more fun!",143.0,Patch,25.0,dear human we have kill all the bug and make the app fast strong and good keep up with the car and auto industry news be now more fun,0.7707262452048855,0.8709398588843348
63,RTO Vehicle Information App,2.8.1,1 May 2020,"We have added insurance, pollution and finance information to the vehicle details!",7.0,Patch,12.0,we have add insurance pollution and finance information to the vehicle detail,0.9272105752576079,0.7829662957731596
64,RTO Vehicle Information App,2.8.0,24 Apr 2020,"There's no place like home. It's the only place where everyone can stay safe. Avoid leaving the house and avoid contact with people outside your household. Also, avoid bugs by updating CarInfo.",37.0,Minor,29.0,theres no place like home its the only place where everyone can stay safe avoid leave the house and avoid contact with person outside you household also avoid bug by update CarInfo,0.9847373814397156,0.9581605087856147
65,RTO Vehicle Information App,2.7.0,18 Mar 2020,"We may not have broken a sweat this session, but we’ve been maintaining a steady pace to keep things ticking over nicely for you.",236.0,Minor,23.0,we may not have break a sweat this session but we have be maintain a steady pace to keep thing tick over nicely for you,0.8654184436179004,0.7166990386909665
66,RTO Vehicle Information App,2.6.0,26 Jul 2019,"This release was dedicated, mainly towards adding a little bit of polish and shine to our existing features!",232.0,Minor,18.0,this release be dedicate mainly towards add a little bit of Polish and shine to we exist feature,0.9545195874557062,0.7920402136482354
67,RTO Vehicle Information App,2.5.2,6 Dec 2018,Fixed what needed fixing and squished some bugs.,17.0,Patch,8.0,fix what need fixing and squish some bug,0.9776754122972366,0.9334551167398422
68,RTO Vehicle Information App,2.5.1,19 Nov 2018,We always strive to give you the best possible experience possible on Car Info. This updates adds support for the latest XS and XS Max. Do let us you if you have any feedback or suggestions using the feedback menu in the app :),54.0,Patch,36.0,we always strive to give you the good possible experience possible on Car Info this update add support for the late XS and XS Max do let we you if you have any feedback or suggestion use the feedback menu in the app,0.9020219468745538,0.7556433275948543
69,RTO Vehicle Information App,2.5.0,26 Sept 2018,Killed little nasty bugs and fixed all the glitches affecting iOS 12!,91.0,Minor,12.0,kill little nasty bug and fix all the glitch affect iOS 12,1.0,0.9468983509298522
70,RTO Vehicle Information App,2.4.0,27 Jun 2018,Your garage is getting a full revamp.,24.0,Minor,7.0,you garage be get a full revamp,1.0,0.9212910605087472
71,RTO Vehicle Information App,2.3.5,3 Jun 2018,Boring Update with bug fixes & stability improvements.,5.0,Patch,8.0,boring update with bug fix stability improvement,0.9657128160092757,0.9657128160092757
72,How a Car Works,2.0.10,"Jan 27, 2020",Bug fixes and improved messaging around the in-app purchase,9.0,Patch,9.0,bug fix and improve messaging around the inapp purchase,0.6510060920447314,0.7404992237257895
73,How a Car Works,2.0.6,"Jan 18, 2020",Bug fixes and improvements,0.0,Patch,4.0,bug fix and improvement,0.8056856598314185,0.6594471199105516
74,How a Car Works,2.0.5,"Jan 18, 2020",Fixed a bug where videos continued to play after switching tab.,13.0,Patch,11.0,fix a bug where video continue to play after switch tab,0.9157173653895344,0.9157173653895344
75,How a Car Works,2.0.4,"Jan 5, 2020","New and improved How a Car Works app. Updated design, course progress tracker and bug fixes.",808.0,Major,15.0,New and improve how a Car Works app update design course progress tracker and bug fix,0.9186960769712458,0.809422065287689
76,How a Car Works,1.2.4,"Oct 19, 2017","The biggest update yet!  We've added AR models of an engine, steering system and differential. Also the most coffee we've ever drunk.",2.0,Patch,22.0,the big update yet Weve add AR model of a engine steering system and differential also the most coffee weve ever drunk,2.220446049250313e-16,0.8826802657187927
77,How a Car Works,1.2.3,"Oct 17, 2017","The biggest update yet!  We've added AR models of an engine, steering system and differential. Also the most coffee we've ever drunk.",61.0,Patch,22.0,the big update yet Weve add AR model of a engine steering system and differential also the most coffee weve ever drunk,0.9384388856798473,0.8826802657187927
78,How a Car Works,1.2.2,"Aug 17, 2017","Released with love from a heatwave in Budapest.Master every part of a modern car with our complete video course, now available to watch in the app.",5.0,Patch,23.0,release with love from a heatwave in BudapestMaster every part of a modern car with we complete video course now available to watch in the app,-4.440892098500626e-16,0.8900143000682644
79,How a Car Works,1.2.1,"Aug 12, 2017","Released with love from a heatwave in Budapest.Master every part of a modern car with our complete video course, now available to watch in the app.",1.0,Patch,23.0,release with love from a heatwave in BudapestMaster every part of a modern car with we complete video course now available to watch in the app,-4.440892098500626e-16,0.8900143000682644
80,How a Car Works,1.2.0,"Aug 11, 2017","Released with love from a heatwave in Budapest.Master every part of a modern car with our complete video course, now available to watch in the app.",640.0,Minor,23.0,release with love from a heatwave in BudapestMaster every part of a modern car with we complete video course now available to watch in the app,0.8900143000682644,0.8900143000682644
81,Android Auto,9.0.1307 beta,"February 17, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",6.0,Major,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
82,Android Auto,8.9.6306,"February 11, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",3.0,Patch,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
83,Android Auto,8.9.1306 beta,"February 8, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",1.0,Patch,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
84,Android Auto,8.9.1305 beta,"February 7, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",10.0,Minor,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
85,Android Auto,8.8.6304,"January 28, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",3.0,Patch,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
86,Android Auto,8.8.1304 beta,"January 25, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",1.0,Patch,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
87,Android Auto,8.8.1303 beta,"January 24, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",4.0,Minor,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
88,Android Auto,8.7.6302,"January 20, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",8.0,Patch,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
89,Android Auto,8.7.6252,"January 12, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",1.0,Patch,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
90,Android Auto,8.7.1302 beta,"January 11, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",4.0,Patch,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
91,Android Auto,8.7.1301 beta,"January 7, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity",23.0,Minor,33.0,• improved do not disturb functionality • dark mode on car ui be now independent from the phone • bug fix and other improvement • we want to hear from you join the conversation in we community gcoandroidautocommunity,-2.220446049250313e-16,-2.220446049250313e-16
